Resulttype,Name
combinational,Crème de la Mer
ideal,Facial Treatment Essence
dizzy,Protini™ Polypeptide Cream
ackward,The Moisturizing Soft Cream
dazzling,Your Skin But Better™ CC+™ Cream with SPF 50+
dull,The Water Cream
balanced,Lala Retro™ Whipped Cream
bio,Virgin Marula Luxury Facial Oil
crancky,Ultra Facial Cream
saggy,Little Miss Miracle Limited-Edition Crème de la Mer
delicate,Lotus Youth Preserve Moisturizer
dual,Midnight Recovery Concentrate
uneven,The True Cream Aqua Bomb
unfair,Luna Sleeping Night Oil
distinct,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™
optimal,The Littles™
tricky,Ultra Repair® Cream Intense Hydration
common,Moisture Surge 72-Hour Auto-Replenishing Hydrator
soaky,Rose Deep Hydration Moisturizer
sticky,R.N.A. POWER Face Cream
even,Crème de la Mer Mini
